HDI_rank,Country,HDI,life_expectancy_birth,expected_education_years,mean_years_education,GNI_capita,GNI_percent,HDI_level,median_age,GII,internet_users,parliament_seat
43,Croatia,0.85,78.5,15.2,11.4,23261.3,0.232613,very_high,35,0.25,82.3,23
43,Chile,0.85,80.2,16.4,10.6,28069.85,0.2806985,very_high,44,0.12,72.7,21
45,Qatar,0.85,80.2,12,9.7,92418.23,0.9241823,very_high,32,0.19,99.7,10
46,Argentina,0.85,76.7,17.7,10.9,21190.18,0.2119018,very_high,32,0.33,74.3,40
47,Brunei Darussalam,0.84,75.9,14.3,9.1,63965.09,0.6396509,very_high,32,0.26,94.6,9
48,Montenegro,0.83,76.9,15,11.6,21399.25,0.2139925,very_high,39,0.11,71.5,28
49,Romania,0.83,76.1,14.3,11.1,29497.23,0.2949723,very_high,43,0.28,70.7,20
50,Palau,0.83,73.9,15.8,12.5,19316.97,0.1931697,very_high,,,..,14
51,Kazakhstan,0.83,73.6,15.6,11.9,22857.46,0.2285746,very_high,31,0.19,78.9,22
52,Russian Federation,0.82,72.6,15,12.2,26157.05,0.2615705,very_high,40,0.23,80.9,17
53,Belarus,0.82,74.8,15.4,12.3,18546.49,0.1854649,very_high,40,0.12,79.1,35
54,Turkey,0.82,77.7,16.6,8.1,27700.89,0.2770089,very_high,32,0.31,71.0,17
55,Uruguay,0.82,77.9,16.8,8.9,20063.64,0.2006364,very_high,36,0.29,68.3,21
56,Bulgaria,0.82,75.1,14.4,11.4,23324.66,0.2332466,very_high,45,0.21,64.8,26
57,Panama,0.82,78.5,12.9,10.2,29557.67,0.2955767,very_high,30,0.41,57.9,21
58,Bahamas,0.81,73.9,12.9,11.4,33747.21,0.3374721,very_high,32,0.34,85.0,22
58,Barbados,0.81,79.2,15.4,10.6,14935.91,0.1493591,very_high,40,0.25,81.8,29
60,Oman,0.81,77.9,14.2,9.7,25944.07,0.2594407,very_high,31,0.31,80.2,10
61,Georgia,0.81,73.8,15.3,13.1,14428.8,0.144288,very_high,38,0.33,64.0,15
62,Malaysia,0.81,76.2,13.7,10.4,18486.37,0.1848637,very_high,33,0.29,74.1,46
62,Costa Rica,0.81,80.3,15.7,8.7,27534.1,0.275341,very_high,30,0.25,81.2,16
64,Kuwait,0.81,75.5,14.2,7.3,58590.08,0.5859008,very_high,37,0.24,99.6,5
64,Serbia,0.81,76,14.7,11.2,17191.67,0.1719167,very_high,42,0.13,73.4,38
66,Mauritius,0.80,75,15.1,9.5,25266.21,0.2526621,very_high,37,0.35,58.6,20
67,Seychelles,0.80,73.4,14.1,10,26903.25,0.2690325,high,34,,58.8,21
67,Trinidad and Tobago,0.80,73.5,13,11,26230.72,0.2623072,high,36,0.32,77.3,33
69,Albania,0.80,78.6,14.7,10.1,13998.3,0.139983,high,36,0.18,71.8,30
70,Iran,0.78,76.7,14.8,10.3,8620.72,0.0862072,high,42,0.30,57.1,53
70,Cuba,0.78,78.8,14.3,11.8,12446.67,0.1244667,high,32,0.46,70.0,6
72,Sri Lanka,0.78,77,14.1,10.6,12707.37,0.1270737,high,34,0.40,34.1,5
73,Bosnia and Herzegovina,0.78,77.4,13.8,9.8,14871.81,0.1487181,high,43,0.15,70.1,21
74,Saint Kitts and Nevis,0.78,74.8,13.8,8.7,15640.89,0.1564089,high,32,,59.1,39
74,Mexico,0.78,75.1,14.8,8.8,19159.84,0.1915984,high,29,0.32,65.8,48
74,Grenada,0.78,72.4,16.9,9,25037.51,0.2503751,high,,,80.7,13
74,Ukraine,0.78,72.1,15.1,11.4,13215.94,0.1321594,high,41,0.23,58.9,21
78,Antigua and Barbuda,0.78,77,12.8,9.3,20895.36,0.2089536,high,34,,76.0,31
79,Thailand,0.78,77.2,15,7.9,12252.3,0.122523,high,31,0.40,52.5,30
79,Peru,0.78,76.7,15,9.7,17781.19,0.1778119,high,40,0.36,56.8,14
81,Armenia,0.78,75.1,13.1,11.3,13894.01,0.1389401,high,35,0.25,64.7,23
82,North Macedonia,0.77,75.8,13.6,9.8,15864.63,0.1586463,high,39,0.14,79.2,39
83,Colombia,0.77,77.3,14.4,8.5,14256.67,0.1425667,high,31,0.43,62.3,20
84,Brazil,0.77,75.9,15.4,8,14262.93,0.1426293,high,33,0.41,67.5,15
85,China,0.76,76.9,14,8.1,16057.4,0.160574,high,38,0.17,54.3,25
86,Saint Lucia,0.76,76.2,14,8.5,11043.98,0.1104398,high,28,0.38,57.3,38
86,Ecuador,0.76,77,14.6,8.9,14615.57,0.1461557,high,34,0.40,50.8,21
88,Dominican Republic,0.76,74.1,14.2,8.1,13783.68,0.1378368,high,32,0.32,79.8,17
88,Azerbaijan,0.76,73,12.9,10.6,17591.07,0.1759107,high,28,0.46,74.8,24
90,Republic of Moldova,0.75,71.9,11.5,11.7,13663.61,0.1366361,high,38,0.20,76.1,26
91,Algeria,0.75,76.9,14.6,8,11173.96,0.1117396,high,29,0.43,59.6,22
92,Lebanon,0.74,78.9,11.3,8.7,14654.53,0.1465453,high,30,0.41,78.2,5
93,Fiji,0.74,67.4,14.4,10.9,13009.07,0.1300907,high,28,0.37,50.0,20
94,Dominica,0.74,78.2,13,8.1,11883.96,0.1188396,high,,,69.6,25
95,Maldives,0.74,78.9,12.2,7,17416.78,0.1741678,high,30,0.37,63.2,5
95,Tunisia,0.74,76.7,15.1,7.2,10414.06,0.1041406,high,33,0.30,64.2,23
97,Suriname,0.74,71.7,13.2,9.3,12377.65,0.1237765,high,33,,22.4,13
97,Saint Vincent and the Grenadines,0.74,72.5,14.1,8.8,14324.38,0.1432438,high,29,0.44,48.9,31
99,Mongolia,0.74,69.9,14.2,10.3,10838.67,0.1083867,high,28,0.32,23.7,17
100,Botswana,0.74,69.6,12.8,9.6,16437.14,0.1643714,high,24,0.47,47.0,11
101,Jamaica,0.73,74.5,13.1,9.7,9319.13,0.0931913,high,31,0.40,55.1,19
